city_id,city_name,state_id,state_name
1,Rockford,OH,Ohio
2,Sedgewickville,MO,Missouri
3,Whitehouse,OH,Ohio
4,Victor,IA,Iowa
5,Pacific Junction,IA,Iowa
6,Tilden,IL,Illinois
7,Porter Heights,TX,Texas
8,Glenmont,OH,Ohio
9,Atglen,PA,Pennsylvania
10,Bevil Oaks,TX,Texas
11,Walnut Springs,TX,Texas
12,Dublin,PA,Pennsylvania
13,Bardolph,IL,Illinois
14,Edinburg,MO,Missouri
15,Dripping Springs,TX,Texas
16,Alba,MO,Missouri
17,San Fernando,TX,Texas
18,Springtown,TX,Texas
19,Royersford,PA,Pennsylvania
20,Jermyn,PA,Pennsylvania
21,Hood,CA,California
22,New Douglas,IL,Illinois
23,Gunter,TX,Texas
24,Georgetown,PA,Pennsylvania
25,Rockwell City,IA,Iowa
26,Lolita,TX,Texas
27,Winfield,MO,Missouri
28,Monument Hills,CA,California
29,Watson,MO,Missouri
30,Sailor Springs,IL,Illinois
31,Issaquah,WA,Washington
32,Rochelle,IL,Illinois
33,Wolfhurst,OH,Ohio
34,Clear Lake,IA,Iowa
35,Metamora,OH,Ohio
36,Arroyo Gardens,TX,Texas
37,Ramirez-Perez,TX,Texas
38,Woodsville,NY,New York
39,Panorama Heights,CA,California
40,Fort Stockton,TX,Texas
41,Poughkeepsie,NY,New York
42,Mission,OR,Oregon
43,Metaline Falls,WA,Washington
44,Lincoln Village,OH,Ohio
45,Fronton Ranchettes,TX,Texas
46,Newark,OH,Ohio
47,Wortham,MO,Missouri
48,Huntsville,MO,Missouri
49,Athalia,OH,Ohio
50,Jacksonville,OR,Oregon
51,Florence,OR,Oregon
52,Bouton,IA,Iowa
53,Liberty,MO,Missouri
54,Allensworth,CA,California
55,Croton-on-Hudson,NY,New York
56,Caledonia,NY,New York
57,Worthington,MO,Missouri
58,Eden,TX,Texas
59,Lititz,PA,Pennsylvania
60,Urbancrest,OH,Ohio
61,Fairborn,OH,Ohio
62,Cliffdell,WA,Washington
63,Groveton,TX,Texas
64,Golden,MO,Missouri
65,Memphis,MO,Missouri
66,Brookville,OH,Ohio
67,Freeburg,IL,Illinois
68,Lowellville,OH,Ohio
69,Chowchilla,CA,California
70,Pine Grove,CA,California
71,Spade,TX,Texas
72,Defiance,OH,Ohio
73,Mount Olive,IL,Illinois
74,Bonham,TX,Texas
75,Kampsville,IL,Illinois
76,Elida,OH,Ohio
77,Cantril,IA,Iowa
78,Green Acres,CA,California
79,Santa Venetia,CA,California
80,South Bloomfield,OH,Ohio
81,Rosewood,OH,Ohio
82,Nesbitt,TX,Texas
83,Brickerville,PA,Pennsylvania
84,Novinger,MO,Missouri
85,North Hampton,OH,Ohio
86,Convoy,OH,Ohio
87,Sebring,OH,Ohio
88,Pinole,CA,California
89,Annapolis,IL,Illinois
90,Tampico,IL,Illinois
91,Wayland,MO,Missouri
92,Lyncourt,NY,New York
93,Little Britain,PA,Pennsylvania
94,Paxton,IL,Illinois
95,Lee Vining,CA,California
96,Old Forge,PA,Pennsylvania
97,Alfarata,PA,Pennsylvania
98,Mount Victory,OH,Ohio
99,Pilot Mound,IA,Iowa
100,Leona,TX,Texas
101,Touchet,WA,Washington
102,Bronaugh,MO,Missouri
103,Marcus,IA,Iowa
104,Stayton,OR,Oregon
105,Midway,TX,Texas
106,Cinnamon Lake,OH,Ohio
107,Wheeling,MO,Missouri
108,Bangor,PA,Pennsylvania
109,Penermon,MO,Missouri
110,Canandaigua,NY,New York
111,Beardstown,IL,Illinois
112,Hopewell Junction,NY,New York
113,Roxana,IL,Illinois
114,Caldwell,TX,Texas
115,Webster,TX,Texas
116,Brookshire,TX,Texas
117,Walnuttown,PA,Pennsylvania
118,Cosby,MO,Missouri
119,Bakerstown,PA,Pennsylvania
120,Coalton,IL,Illinois
121,Venango,PA,Pennsylvania
122,Hanover,OH,Ohio
123,Clay,CA,California
124,Scott City,MO,Missouri
125,Leon Valley,TX,Texas
126,Copalis Beach,WA,Washington
127,Hunters Creek Village,TX,Texas
128,Sewickley Heights,PA,Pennsylvania
129,Mount Morris,PA,Pennsylvania
130,East Richmond Heights,CA,California
131,Earlville,NY,New York
132,Grand Mound,IA,Iowa
133,South Bethlehem,PA,Pennsylvania
134,Junction City,CA,California
135,Lebanon,OH,Ohio
136,Kingston,WA,Washington
137,Booker,TX,Texas
138,Bonnie,IL,Illinois
139,Eldorado,IL,Illinois
140,Homestead,MO,Missouri
141,Nedrow,NY,New York
142,Albers,IL,Illinois
143,Rock Valley,IA,Iowa
144,Mitchell,OR,Oregon
145,Fredericksburg,PA,Pennsylvania
146,Texhoma,TX,Texas
147,Nassau Bay,TX,Texas
148,Visalia,CA,California
149,Arthur,IA,Iowa
150,Lake Stickney,WA,Washington
151,Brimfield,IL,Illinois
152,Riverton,IA,Iowa
153,Le Roy,IA,Iowa
154,Lockington,OH,Ohio
155,South Gorin,MO,Missouri
156,Fetters Hot Springs-Agua Caliente,CA,California
157,Centerport,PA,Pennsylvania
158,Bull Valley,IL,Illinois
159,Winona,MO,Missouri
160,Stratford,TX,Texas
161,Huntingdon,PA,Pennsylvania
162,Mitchell,IA,Iowa
163,Hubbard,OR,Oregon
164,Smoketown,PA,Pennsylvania
165,Portage Des Sioux,MO,Missouri
166,Vineyard,CA,California
167,Roseburg,OR,Oregon
168,Port Neches,TX,Texas
169,Deerfield,MO,Missouri
170,Beasley,TX,Texas
171,Dansville,NY,New York
172,Glen Carbon,IL,Illinois
173,North Bay Shore,NY,New York
174,Luzerne,PA,Pennsylvania
175,Kittanning,PA,Pennsylvania
176,Connellsville,PA,Pennsylvania
177,Canonsburg,PA,Pennsylvania
178,Keller,WA,Washington
179,Westhampton,NY,New York
180,Frost,TX,Texas
181,Thomasville,MO,Missouri
182,Roma,TX,Texas
183,Melrose,OR,Oregon
184,Grandin,MO,Missouri
185,McAlisterville,PA,Pennsylvania
186,Lake Cavanaugh,WA,Washington
187,Yale,IA,Iowa
188,Morgan,TX,Texas
189,Colwell,IA,Iowa
