employer_id,city_id,contract_id,start_date,end_date,renewed_flag,job_slots,total_contract_value,applications,apply_start_clicks,click_marketplace_value,job_listings
4277920,9767,2423796,10/30/2017,11/30/2017,1,15,995,215,255,15484.4,25
2372987,8585,2074128,6/29/2017,7/29/2017,0,50,1495,55,70,1719.3,50
1142693,6665,1924740,5/2/2017,6/2/2017,0,15,495,45,95,1195.75,20
1353893,5165,1942512,5/9/2017,6/6/2017,0,15,995,155,175,1197.35,20
922427,3882,1380984,9/19/2016,10/20/2016,1,15,745,150,185,8889.7,20
1411387,4163,2436360,11/1/2017,12/1/2017,0,15,995,0,60,2267.15,5
1262987,6535,2881524,3/20/2018,4/20/2018,0,15,1495,15,20,1087.25,5
1002933,1303,1453824,10/17/2016,11/17/2016,1,50,2995,0,540,19473.3,35
4092693,1941,1998744,6/1/2017,7/1/2017,1,15,1495,115,210,3763.55,20
1077040,7409,1964436,5/18/2017,6/18/2017,0,15,495,5,10,525.85,5
1062800,5927,1964688,5/18/2017,6/18/2017,0,15,995,0,140,1309.9,15
4843600,5390,2558580,12/13/2017,1/13/2018,1,50,2995,275,340,2773.85,55
959840,10026,2128128,7/19/2017,8/19/2017,0,15,745,30,60,557.65,10
918640,8893,1159116,6/8/2016,7/8/2016,1,15,1245,460,560,15018.85,20
1778267,10457,1108020,5/17/2016,6/5/2016,0,50,1745,590,1145,11012.6,55
1650347,2380,1179168,6/14/2016,7/14/2016,1,15,745,160,330,10420.6,15
1113360,11026,2027544,6/13/2017,7/13/2017,0,15,1495,200,230,5102.95,45
413173,2726,1739388,2/20/2017,3/20/2017,0,15,995,330,285,12782,25
1391493,377,1845024,3/30/2017,4/30/2017,1,15,745,70,235,1035.45,15
1524453,2560,1559496,12/2/2016,12/4/2016,0,15,1495,0,5,290.6,10
4291973,7965,2041632,6/18/2017,7/18/2017,1,15,745,65,100,1185.8,10
3122107,4858,2054688,6/22/2017,7/22/2017,1,15,495,30,55,1171.35,15
1487813,199,1912428,4/27/2017,5/27/2017,0,15,1245,155,185,2025.15,15
1034960,8294,1798596,3/14/2017,4/14/2017,1,15,1745,295,435,2094.7,15
1752693,9172,1109820,5/18/2016,6/18/2016,1,50,1245,265,350,8713.4,45
1699760,10567,1457112,10/18/2016,11/18/2016,1,15,495,0,0,513.3,15
1393013,3823,2192520,8/10/2017,9/10/2017,0,15,995,80,165,2697.35,10
1655280,2159,1528488,11/18/2016,12/18/2016,1,15,495,10,50,2928.85,20
1448907,9261,1494420,11/2/2016,12/2/2016,1,15,745,65,75,1882.65,5
5284133,3711,2304564,9/20/2017,9/22/2017,0,15,995,0,0,77.6,5
1233067,9297,1634868,1/5/2017,2/5/2017,1,15,1495,495,605,14211.25,25
914507,6270,1646772,1/11/2017,2/11/2017,1,15,1245,105,90,5008.3,10
880293,639,2323140,9/26/2017,10/26/2017,0,15,1245,0,185,5171.35,15
1884080,6998,1710168,2/8/2017,3/8/2017,1,15,495,160,230,4005.35,15
2345387,7274,2183520,8/7/2017,9/7/2017,0,15,995,0,65,3741.45,15
1366080,7648,1115268,5/20/2016,6/20/2016,0,50,995,45,175,3696.7,60
1051413,8487,1724880,2/14/2017,3/14/2017,1,50,1495,70,180,2912.1,20
1008187,8011,1460112,10/19/2016,11/19/2016,1,15,1495,375,465,29054.55,15
2980827,4906,1610400,12/23/2016,1/23/2017,1,15,495,100,100,4406.75,30
922907,8930,2511840,11/28/2017,12/28/2017,1,15,1495,195,320,6217.5,15
1351120,9035,1497216,11/4/2016,12/4/2016,1,15,1495,35,35,1809.5,20
826267,5928,1499076,11/4/2016,12/4/2016,0,15,745,210,210,3344.4,5
850960,9644,2193180,8/10/2017,9/10/2017,1,15,995,170,295,1152.95,10
957573,8971,1241064,7/13/2016,8/13/2016,1,15,1495,0,15,415.25,10
1097147,8228,2631612,1/4/2018,2/4/2018,1,15,1745,140,210,6452.05,15
918640,811,2746164,2/8/2018,3/8/2018,1,15,1495,65,95,4748.6,15
4820827,9770,2186172,8/8/2017,8/9/2017,0,15,995,0,0,31.75,15
1064373,5431,1647564,1/11/2017,2/11/2017,0,15,1745,0,310,7502.25,10
783680,1520,1648836,1/13/2017,2/13/2017,0,15,1495,385,485,16992.5,15
5027120,3551,2243388,8/29/2017,9/29/2017,0,15,995,60,80,3207.2,5
1049387,3806,2244432,8/29/2017,9/29/2017,1,15,1495,0,565,3596.4,5
1528027,6895,2244576,8/29/2017,9/29/2017,0,15,1495,410,770,8056.95,5
3220213,10800,1701120,2/4/2017,2/13/2017,0,15,745,65,105,2497.3,15
3220213,2968,1701120,2/4/2017,3/4/2017,0,15,745,250,310,6257,15
1107120,3389,1461192,10/19/2016,11/19/2016,0,15,1745,95,155,10445,10
1510133,3782,2205336,8/15/2017,9/15/2017,1,15,995,160,480,2897.9,20
677040,10712,2206152,8/15/2017,9/15/2017,0,15,1245,40,100,1542.05,25
1868960,8975,1243176,7/14/2016,8/11/2016,1,50,1745,0,720,8724.05,15
1351120,7539,1318860,8/19/2016,9/19/2016,0,15,745,45,100,2071.9,25
1974587,1259,2385552,10/17/2017,11/17/2017,1,15,995,0,205,2675.2,15
1261387,9672,2228244,8/23/2017,9/23/2017,1,15,1495,225,280,7122.15,10
1049387,6650,2889984,3/22/2018,4/22/2018,0,15,1495,0,90,540.35,5
1993093,2730,1294428,8/7/2016,9/7/2016,1,15,1495,155,195,4918.6,25
825173,2200,1742760,2/21/2017,3/21/2017,1,15,745,80,120,1622.7,20
2625573,7457,1590672,12/16/2016,1/16/2017,0,15,745,455,620,14696.4,15
899227,5316,2493840,11/21/2017,12/21/2017,1,15,1495,0,215,5531.4,5
3770667,2636,2189868,8/9/2017,9/9/2017,0,15,1745,105,155,5818.75,5
1078453,128,2239296,8/28/2017,9/1/2017,0,15,995,10,10,741.45,15
5271093,4991,2302716,9/19/2017,10/19/2017,1,15,995,5,15,446.9,5
1233067,8884,1179792,6/14/2016,7/14/2016,1,15,1495,700,955,4839.3,30
1107147,3865,1245936,7/15/2016,7/28/2016,1,50,760,0,185,4162.4,70
1051413,5175,1246632,7/15/2016,7/20/2016,0,50,1245,20,25,182.05,10
898107,8625,2404200,10/23/2017,11/23/2017,1,15,1245,15,30,1724.25,5
1750400,9248,1192056,6/20/2016,7/20/2016,1,15,495,0,165,3284.65,25
828800,3507,1566660,12/6/2016,1/6/2017,0,15,1245,70,70,3732.15,10
2937493,6544,1568580,12/7/2016,12/9/2016,0,50,1495,0,0,70.7,10
2937493,1705,1568580,12/7/2016,12/9/2016,0,50,1495,0,0,70.7,10
1214907,5172,2248848,8/31/2017,9/30/2017,1,15,1245,75,205,5184.35,15
1645867,7291,1185684,6/16/2016,7/16/2016,0,15,1245,195,400,5673.9,5
1504693,8051,1432284,10/6/2016,11/6/2016,1,15,1745,0,260,9888.6,10
1388933,1742,1286868,8/3/2016,9/3/2016,0,50,1495,5,25,4590.95,30
1049387,10255,1649988,1/12/2017,2/12/2017,1,50,2995,0,670,20771.3,35
1273573,9683,1287480,8/3/2016,9/3/2016,1,15,1245,40,95,1846.7,20
1566000,11232,1206132,6/27/2016,7/27/2016,1,15,1245,190,195,3752.85,30
1830800,8962,1125552,5/25/2016,5/26/2016,0,50,1745,0,0,18.4,10
2390000,885,1363728,9/10/2016,10/10/2016,0,50,1495,315,395,13864.2,20
2352293,8812,1323828,8/22/2016,8/23/2016,0,50,1495,10,5,91.5,55
1587307,2783,1324536,8/22/2016,9/22/2016,0,15,1495,25,70,2688.8,15
1431440,4486,1538544,11/23/2016,12/20/2016,1,50,570,15,40,8522.95,15
1523200,9137,1571328,12/8/2016,1/8/2017,0,15,495,30,50,1675.6,5
1324320,538,2634792,1/5/2018,2/5/2018,1,15,1245,325,415,9788.4,10
1897467,10971,1291932,8/5/2016,9/5/2016,1,15,995,10,80,4712.2,15
1154027,5018,1303356,8/11/2016,9/11/2016,0,15,1745,90,185,2625.6,10
1142693,9313,2668584,1/16/2018,2/16/2018,1,15,995,65,120,1066.3,15
1784187,1144,2749728,2/9/2018,3/9/2018,1,15,995,70,155,3934.3,15
1515333,3129,2532720,12/5/2017,1/5/2018,0,15,995,185,430,4142.1,20
6993200,6989,2731956,2/4/2018,2/5/2018,0,50,2995,0,5,54.9,10
5332373,62,2742492,2/7/2018,2/23/2018,0,15,995,15,45,616.45,15
6634347,7351,2742708,2/7/2018,3/1/2018,0,15,995,160,195,1029.2,10
5296507,6517,2522400,11/30/2017,12/3/2017,1,15,995,5,0,240.35,5
6219307,6629,2523516,12/1/2017,12/5/2017,0,15,1495,0,35,813.6,5
443440,8140,2381124,10/16/2017,11/16/2017,1,15,1495,200,200,5788.8,20
769013,11367,2525100,12/1/2017,1/1/2018,0,15,1495,0,365,3383.1,5
1279947,10197,2771244,2/16/2018,3/16/2018,0,15,995,0,65,2693.9,15
7059120,6119,2779152,2/19/2018,3/19/2018,1,15,995,15,55,1498.65,20
7046667,6837,2798184,2/23/2018,3/23/2018,1,15,995,15,60,685.25,15
1113467,2814,2799492,2/24/2018,3/24/2018,0,15,1245,60,150,1789.1,15
1353893,5517,2782944,2/20/2018,3/20/2018,0,15,995,415,500,2023.7,15
5015653,6640,2796624,2/23/2018,3/23/2018,1,15,995,125,155,3049.7,20
1884080,830,2797080,2/23/2018,3/23/2018,1,15,995,230,335,3860.35,15
1298480,7383,2781912,2/20/2018,3/20/2018,1,50,2995,20,185,9297.4,30
1142907,2527,2775300,2/17/2018,3/17/2018,0,15,1495,25,85,3085.25,15
5332373,11,2806416,2/27/2018,3/2/2018,0,15,995,15,25,568.55,15
1029867,499,2830464,3/5/2018,4/5/2018,0,15,995,115,195,1309.3,20
1413653,4040,2884704,3/21/2018,4/21/2018,0,15,1495,15,20,592.2,20
1929573,1469,2907768,3/27/2018,4/27/2018,0,15,1495,0,40,947.3,15
1264720,4699,2908176,3/27/2018,4/27/2018,0,15,1495,0,35,649.5,10
2253120,3,1307544,8/14/2016,8/15/2016,0,15,495,0,0,0,0
2493307,2156,2915856,3/29/2018,4/28/2018,0,15,995,5,5,96,0
3390373,3392,1777404,3/7/2017,3/9/2017,0,15,1745,0,5,165.5,0
4602293,8775,2144232,7/26/2017,8/25/2017,1,15,745,20,45,3312.65,0
1324080,9447,1646172,1/12/2017,2/11/2017,1,15,1495,115,165,7014.45,15
